epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5562,1.855,3.75799,1.60567,0.77413,0.02369,0.27279,0.12703,1.64513,3.73856,1.40761,0.000655738,0.000655738,0.000655738
2,60.0958,1.73769,2.72941,1.50408,0.38723,0.21769,0.18232,0.09448,1.68672,6.03668,1.5907,0.00123513,0.00123513,0.00123513
3,78.4283,1.72025,2.24021,1.50385,0.5806,0.44218,0.43157,0.17285,1.8335,3.85285,1.62719,0.00172651,0.00172651,0.00172651
4,96.5291,1.69293,1.93832,1.46594,0.61285,0.52767,0.54295,0.27954,1.57194,2.81127,1.34114,0.001604,0.001604,0.001604
5,114.986,1.66382,1.81252,1.44038,0.80638,0.56463,0.64944,0.33329,1.59715,1.41352,1.37918,0.001472,0.001472,0.001472
6,133.955,1.56465,1.63629,1.40099,0.89207,0.55782,0.63821,0.31178,1.63557,1.45428,1.38346,0.00134,0.00134,0.00134
7,151.155,1.47488,1.40037,1.34834,0.80552,0.59184,0.67386,0.3507,1.55402,1.28257,1.3542,0.001208,0.001208,0.001208
8,168.582,1.48003,1.36391,1.35147,0.80829,0.60544,0.69233,0.35214,1.59472,1.30874,1.39479,0.001076,0.001076,0.001076
9,185.39,1.43487,1.23345,1.33127,0.93136,0.70068,0.75876,0.36181,1.56944,1.09309,1.3299,0.000944,0.000944,0.000944
10,201.979,1.36943,1.15328,1.28063,0.86219,0.72352,0.77956,0.40926,1.45595,1.06944,1.26194,0.000812,0.000812,0.000812
11,219.7,1.33648,1.07131,1.25662,0.94639,0.72055,0.79103,0.42261,1.48451,0.96822,1.288,0.00068,0.00068,0.00068
12,236.43,1.31513,1.0386,1.24238,0.94808,0.74536,0.81088,0.42052,1.48028,0.98031,1.27541,0.000548,0.000548,0.000548
13,252.846,1.26605,0.97042,1.18998,0.94952,0.78912,0.83273,0.44605,1.48685,0.90805,1.29194,0.000416,0.000416,0.000416
14,270.389,1.23821,0.92394,1.18976,0.97861,0.7619,0.83554,0.45781,1.42405,0.85069,1.2406,0.000284,0.000284,0.000284
15,287.231,1.23123,0.89185,1.18356,0.95024,0.79592,0.83354,0.444,1.45005,0.86214,1.25263,0.000152,0.000152,0.000152
